password-assistance.rmit.edu.vn,103.253.91.29
findaresearcher.rmit.edu.vn,103.253.91.29
sbcsprdap85.rmit.edu.vn,103.144.84.153
sbcsprdap81.rmit.edu.vn,103.253.91.28
srs-docs.rmit.edu.vn,
teachertalks.rmit.edu.vn,23.236.62.147
libtutorials.rmit.edu.vn,103.253.88.36
sglprdrevrprx01.rmit.edu.vn,103.253.91.29
master-of-global-trade.rmit.edu.vn,171.244.39.11
sglprdalumweb1.rmit.edu.vn,103.253.91.24
ns1.rmit.edu.vn,103.253.91.22
ocs-ng.rmit.edu.vn,
pnt-wl-drweb5.rmit.edu.vn,
dns2.rmit.edu.vn,
ns2.rmit.edu.vn,103.144.84.150
rmitlibraryvn.rmit.edu.vn,216.147.220.65
vpn.rmit.edu.vn,103.253.88.6
sgs-wl-web5.rmit.edu.vn,
vpn2.rmit.edu.vn,103.253.88.4
sgs-wl-mekong2.rmit.edu.vn,
sgs-aw-spydus01.rmit.edu.vn,
sgs-aw-hrapp1.rmit.edu.vn,103.253.88.38
drwprdhrapp01.rmit.edu.vn,210.245.97.71
sgs-wl-omeka.rmit.edu.vn,103.253.88.36
password.rmit.edu.vn,
sgs-wl-sleapp1.rmit.edu.vn,103.253.88.40
pnt-wl-wcpsvc.rmit.edu.vn,210.245.97.72
pnt-wl-drweb3.rmit.edu.vn,
english.rmit.edu.vn,103.253.88.35
email.rmit.edu.vn,167.89.123.124
alumninetwork.rmit.edu.vn,103.253.91.24
sgs-wl-dls.rmit.edu.vn,
sglprdstudlab01.rmit.edu.vn,103.253.91.23
mytimetable.rmit.edu.vn,13.238.229.115
studentlab1.rmit.edu.vn,103.253.91.23
online-archived.rmit.edu.vn,
democlass.rmit.edu.vn,103.253.88.35
experienceday.rmit.edu.vn,103.253.91.29
apps.rmit.edu.vn,103.253.91.29
ave.rmit.edu.vn,
blackboard.rmit.edu.vn,103.253.91.29
careerhub.rmit.edu.vn,
careers.rmit.edu.vn,20.225.187.144
crm.rmit.edu.vn,
dialin.rmit.edu.vn,
election.rmit.edu.vn,
ems.rmit.edu.vn,
helpdesk.rmit.edu.vn,103.253.91.29
itop.rmit.edu.vn,
lyncdiscover.rmit.edu.vn,
mekong.rmit.edu.vn,
mekong1.rmit.edu.vn,
minio.rmit.edu.vn,103.253.88.40
myperformance.rmit.edu.vn,103.253.88.38
oes.rmit.edu.vn,103.253.91.29
orsee.rmit.edu.vn,
sgs-ml-smtp.rmit.edu.vn,103.253.88.4
sgs-wl-web3.rmit.edu.vn,
sgs-ww-livesrv.rmit.edu.vn,
sip.rmit.edu.vn,
skooprdap81.rmit.edu.vn,
skooprdap85.rmit.edu.vn,
skypeexternal81.rmit.edu.vn,
skypeexternal85.rmit.edu.vn,
sso.rmit.edu.vn,
staff.rmit.edu.vn,
wce.rmit.edu.vn,
webems.rmit.edu.vn,
sts.rmit.edu.vn,
autodiscover.rmit.edu.vn,
hress.rmit.edu.vn,103.253.88.47
sas.rmit.edu.vn,103.253.91.29
pathways.rmit.edu.vn,103.253.88.40
ielts.rmit.edu.vn,
pe.rmit.edu.vn,108.157.38.94
omeka.rmit.edu.vn,103.253.88.36
typographyvn.rmit.edu.vn,103.253.88.45
dns1.rmit.edu.vn,
event.rmit.edu.vn,23.236.62.147
ssodr.rmit.edu.vn,
appsdr.rmit.edu.vn,210.245.97.72
staffdr.rmit.edu.vn,210.245.97.72
emsdr.rmit.edu.vn,210.245.97.72
oesdr.rmit.edu.vn,210.245.97.72
stsstg.rmit.edu.vn,
crmdr.rmit.edu.vn,210.245.97.72
sgs-wl-studweb.rmit.edu.vn,
emedia.rmit.edu.vn,103.253.91.29
dlt.rmit.edu.vn,
design.rmit.edu.vn,173.203.204.123
infosession.rmit.edu.vn,34.149.87.45
chame.rmit.edu.vn,192.0.78.235
rivf2020.rmit.edu.vn,192.0.78.12
rmit.edu.vn,103.253.91.29
etal.rmit.edu.vn,173.203.204.123
rmitenglishevent.rmit.edu.vn,23.236.62.147
mekong2.rmit.edu.vn,
online.rmit.edu.vn,
learninglab.rmit.edu.vn,103.253.91.29
dls.rmit.edu.vn,
library.rmit.edu.vn,103.253.91.29
www.rmit.edu.vn,108.157.38.45
